phase,iteration,normalized_time,loss,objective,observed_objective,optimum_loss,instantaneous_regret,response_seconds,dataset_size,spatial_x
initial,0,0.022256858800119808,21.843797642219325,-21.843797642219325,-21.9224794583963,20.083289109992077,1.7605085322272487,0.0,1,8.765547988573076 -14.7336503191123 -29.37769446808354
initial,1,0.005678939838334493,21.54253559286635,-21.54253559286635,-21.753430884374858,20.075170500585994,1.4673650922803567,0.0,2,-30.942231326174138 20.049295308817435 26.41635694577419
initial,2,0.01557967861715106,20.724622700979985,-20.724622700979985,-20.41104439934576,19.09939010287534,1.6252325981046454,0.0,3,6.824689649099511 14.687779902975898 2.7919994537870636
initial,3,0.0021003835895596207,21.04229312870071,-21.04229312870071,-21.131697357692026,19.39271930394732,1.6495738247533893,0.0,4,27.844635122417166 20.214627463778058 -31.824735989110522
initial,4,0.020816103691334947,21.465940031518688,-21.465940031518688,-21.406632429572184,19.915805416817552,1.5501346147011361,0.0,5,22.87387370160444 -29.85052318045028 14.69794857151642
initial,5,0.019677457687217084,21.594729951389333,-21.594729951389333,-21.641346162212276,19.707495705460932,1.8872342459284006,0.0,6,-20.758040281436223 23.24345103039274 2.6535180959418696
initial,6,0.005984236074823804,21.228094407050097,-21.228094407050097,-20.942621309295813,20.11251072569962,1.1155836813504756,0.0,7,-12.818439005607374 -4.948017843349859 -30.18754104669037
initial,7,0.021912105770267597,21.367288470116492,-21.367288470116492,-21.129249949733815,20.054703600910152,1.31258486920634,0.0,8,-24.045870304027908 10.91996254039234 9.420128740752006
initial,8,0.0014642008701298587,21.62292568522754,-21.62292568522754,-21.50874303162541,19.289136011101622,2.333789674125917,0.0,9,7.384647134800247 -7.44463652723946 31.821435890509505
initial,9,0.00840292651364151,21.71139297163047,-21.71139297163047,-22.108648144094325,20.197669798707235,1.5137231729232354,0.0,10,30.773461681678725 11.87468700676446 9.629393681140243
initial,10,0.003756986672370977,21.078343016227425,-21.078343016227425,-21.068963081367926,19.73421085071421,1.3441321655132157,0.0,11,12.060590756540165 -7.109028865337358 -23.353823678565682
initial,11,0.011258484166232175,21.153974295274367,-21.153974295274367,-21.03071735959483,19.820318644761887,1.3336556505124797,0.0,12,14.175253772421229 1.6226766384464568 -12.144519964226838
initial,12,0.019908106757182357,21.007202662610062,-21.007202662610062,-20.82620554865965,19.753667110799114,1.2535355518109483,0.0,13,-0.9065370347654991 24.927221398336016 27.77878502119998
initial,13,0.005766055224843686,21.446576177458812,-21.446576177458812,-21.55797425729856,20.08638839064929,1.3601877868095222,0.0,14,-9.101107410619505 4.5779091667047 -11.400358971139703
initial,14,0.0013005325266102403,20.42750393595699,-20.42750393595699,-20.099026426177147,19.26727452085054,1.1602294151064534,0.0,15,6.035201932780595 -10.373681567543471 -6.936383966197681
optimization,0,0.025,21.239403660741345,-21.239403660741345,-21.477454797850523,20.03223380331199,1.2071698574293563,3.7321135169995614,16,-0.9065150479006192 24.927211401904792 27.778772479651032
