benchmark,method,seed,duration_seconds,phase,iteration,normalized_time,loss,objective,observed_objective,optimum_loss,instantaneous_regret,response_seconds,dataset_size,spatial_x
ackley,W-DBO,0,600.0,initial,0,0.022256858800119808,21.843797642219325,-21.843797642219325,-21.946919104257944,20.083289109992077,1.7605085322272487,0.0,1,8.765547988573076 -14.7336503191123 -29.37769446808354
ackley,W-DBO,0,600.0,initial,1,0.005678939838334493,21.54253559286635,-21.54253559286635,-21.818937839968807,20.075170500585994,1.4673650922803567,0.0,2,-30.942231326174138 20.049295308817435 26.41635694577419
ackley,W-DBO,0,600.0,initial,2,0.01557967861715106,20.724622700979985,-20.724622700979985,-20.31364269950956,19.09939010287534,1.6252325981046454,0.0,3,6.824689649099511 14.687779902975898 2.7919994537870636
ackley,W-DBO,0,600.0,initial,3,0.0021003835895596207,21.04229312870071,-21.04229312870071,-21.15946753130071,19.39271930394732,1.6495738247533893,0.0,4,27.844635122417166 20.214627463778058 -31.824735989110522
ackley,W-DBO,0,600.0,initial,4,0.020816103691334947,21.465940031518688,-21.465940031518688,-21.38821067904706,19.915805416817552,1.5501346147011361,0.0,5,22.87387370160444 -29.85052318045028 14.69794857151642
ackley,W-DBO,0,600.0,initial,5,0.019677457687217084,21.594729951389333,-21.594729951389333,-21.65582579345721,19.707495705460932,1.8872342459284006,0.0,6,-20.758040281436223 23.24345103039274 2.6535180959418696
ackley,W-DBO,0,600.0,initial,6,0.005984236074823804,21.228094407050097,-21.228094407050097,-20.85394946933156,20.11251072569962,1.1155836813504756,0.0,7,-12.818439005607374 -4.948017843349859 -30.18754104669037
ackley,W-DBO,0,600.0,initial,7,0.021912105770267597,21.367288470116492,-21.367288470116492,-21.05531193683262,20.054703600910152,1.31258486920634,0.0,8,-24.045870304027908 10.91996254039234 9.420128740752006
ackley,W-DBO,0,600.0,initial,8,0.0014642008701298587,21.62292568522754,-21.62292568522754,-21.473276341185752,19.289136011101622,2.333789674125917,0.0,9,7.384647134800247 -7.44463652723946 31.821435890509505
ackley,W-DBO,0,600.0,initial,9,0.00840292651364151,21.71139297163047,-21.71139297163047,-22.232041021933924,20.197669798707235,1.5137231729232354,0.0,10,30.773461681678725 11.87468700676446 9.629393681140243
